;containerID;SH;Category;Weight;Filling start;Alt filling start;Filling end;Loading;Leaving;Plate;Arrival;Unload;trip_id
34;663;sh2;Sekatuote siipikarja luokka 3;13720kg;2022-11-03T15:59:00Z;;2022-11-03T20:24:00Z;2022-11-03T22:45:00Z;2022-11-03T22:50:00Z;truck5;2022-11-03T17:49:00Z;2022-11-03T22:47:00Z;28.0
35;647;sh1;Sekatuote siipikarja luokka 3;14300kg;2022-11-04T06:37:00Z;;2022-11-04T08:16:00Z;2022-11-04T10:26:00Z;2022-11-04T10:39:00Z;truck6;2022-11-04T12:53:00Z;2022-11-04T13:18:00Z;29.0
36;651;sh1;Sekatuote siipikarja luokka 3;11980kg;2022-11-03T21:13:00Z;;2022-11-04T06:37:00Z;2022-11-04T10:26:00Z;2022-11-04T10:39:00Z;truck6;2022-11-04T12:26:00Z;2022-11-04T12:56:00Z;29.0
37;602;sh1;Sekatuote siipikarja luokka 3;13980kg;2022-11-04T08:20:00Z;;2022-11-04T10:28:00Z;2022-11-04T11:13:00Z;2022-11-04T11:27:00Z;truck4;2022-11-04T13:25:00Z;2022-11-04T14:10:00Z;30.0
38;628;sh1;Sekatuote siipikarja luokka 3;14780kg;2022-11-04T14:02:00Z;;2022-11-04T15:55:00Z;2022-11-04T15:55:00Z;2022-11-04T16:08:00Z;truck6;2022-11-04T17:53:00Z;2022-11-04T18:18:00Z;31.0
39;641;sh1;Sekatuote siipikarja luokka 3;15240kg;2022-11-04T12:15:00Z;;2022-11-04T14:02:00Z;2022-11-04T15:44:00Z;2022-11-04T16:08:00Z;truck6;2022-11-04T17:53:00Z;2022-11-04T18:08:00Z;31.0
40;650;sh1;Sekatuote siipikarja luokka 3;15780kg;2022-11-04T10:31:00Z;;2022-11-04T12:15:00Z;2022-11-04T15:44:00Z;2022-11-04T16:08:00Z;truck6;2022-11-04T17:53:00Z;2022-11-04T17:58:00Z;31.0
41;616;sh1;Sekatuote siipikarja luokka 3;14060kg;2022-11-04T15:55:00Z;;2022-11-04T17:38:00Z;2022-11-04T17:24:00Z;2022-11-04T17:34:00Z;truck3;2022-11-04T19:39:00Z;2022-11-04T19:52:00Z;32.0
42;623;sh2;Varpaat, Siipikarja, Luokka 3;13000kg;2022-11-04T04:13:00Z;;2022-11-04T19:12:00Z;2022-11-04T19:23:00Z;2022-11-04T19:42:00Z;truck2;2022-11-04T14:48:00Z;2022-11-04T19:39:00Z;33.0
43;634;sh2;Sekatuote siipikarja luokka 3;14200kg;2022-11-04T14:24:00Z;;2022-11-04T18:00:00Z;2022-11-04T19:23:00Z;2022-11-04T19:42:00Z;truck2;2022-11-04T14:48:00Z;2022-11-04T19:33:00Z;34.0
44;624;sh2;Sekatuote siipikarja luokka 3;13140kg;2022-11-04T19:32:00Z;;2022-11-04T23:08:00Z;2022-11-04T23:12:00Z;2022-11-04T23:34:00Z;truck5;2022-11-04T18:41:00Z;2022-11-04T23:37:00Z;35.0
45;616;sh1;Sekatuote siipikarja luokka 3;11040kg;2022-11-07T09:03:00Z;;2022-11-07T11:24:00Z;2022-11-07T11:23:00Z;2022-11-07T11:35:00Z;truck4;2022-11-07T13:18:00Z;2022-11-07T13:23:00Z;36.0
46;644;sh2;Sekatuote siipikarja luokka 3;14640kg;2022-11-07T04:23:00Z;;2022-11-07T10:09:00Z;2022-11-07T12:06:00Z;2022-11-07T12:25:00Z;truck2;2022-11-07T09:43:00Z;2022-11-07T12:19:00Z;37.0
47;606;sh2;Sekatuote siipikarja luokka 3;14540kg;2022-11-07T04:23:00Z;;2022-11-07T08:28:00Z;2022-11-07T12:07:00Z;2022-11-07T12:25:00Z;truck2;2022-11-07T09:43:00Z;2022-11-07T12:38:00Z;38.0
48;635;sh2;Sekatuote siipikarja luokka 3;13820kg;2022-11-07T12:42:00Z;;2022-11-07T16:11:00Z;2022-11-07T17:26:00Z;2022-11-07T17:33:00Z;truck2;2022-11-07T14:13:00Z;2022-11-07T18:39:00Z;39.0
49;651;sh2;Sekatuote siipikarja luokka 3;15060kg;2022-11-07T10:10:00Z;;2022-11-07T14:17:00Z;2022-11-07T17:26:00Z;2022-11-07T17:33:00Z;truck2;2022-11-07T14:13:00Z;2022-11-07T18:03:00Z;40.0
50;661;sh2;Sekatuote siipikarja luokka 3;15380kg;2022-11-07T08:29:00Z;;2022-11-07T12:41:00Z;2022-11-07T17:25:00Z;2022-11-07T17:33:00Z;truck2;2022-11-07T14:13:00Z;2022-11-07T17:45:00Z;41.0
51;617;sh2;Varpaat, Siipikarja, Luokka 3;10840kg;2022-11-07T04:23:00Z;;2022-11-07T19:06:00Z;2022-11-08T02:48:00Z;2022-11-08T02:55:00Z;truck7;2022-11-07T23:09:00Z;2022-11-08T03:10:00Z;42.0
52;626;sh2;Sekatuote siipikarja luokka 3;13980kg;2022-11-07T14:19:00Z;;2022-11-07T18:03:00Z;2022-11-08T02:47:00Z;2022-11-08T02:55:00Z;truck7;2022-11-07T23:09:00Z;2022-11-08T02:42:00Z;43.0
53;631;sh2;Sekatuote siipikarja luokka 3;13700kg;2022-11-07T16:11:00Z;;2022-11-07T21:10:00Z;2022-11-08T02:49:00Z;2022-11-08T02:55:00Z;truck7;2022-11-07T23:09:00Z;2022-11-08T02:56:00Z;44.0
54;602;sh1;Sekatuote siipikarja luokka 3;13460kg;2022-11-07T20:19:00Z;;2022-11-08T06:08:00Z;2022-11-08T07:08:00Z;2022-11-08T07:15:00Z;truck3;2022-11-08T09:11:00Z;2022-11-08T09:39:00Z;45.0
55;628;sh1;Sekatuote siipikarja luokka 3;14580kg;2022-11-08T06:08:00Z;;2022-11-08T08:16:00Z;2022-11-08T11:49:00Z;2022-11-08T12:07:00Z;truck4;2022-11-08T14:16:00Z;2022-11-08T14:47:00Z;46.0
56;649;sh1;Sekatuote siipikarja luokka 3;11360kg;2022-11-08T08:19:00Z;;2022-11-08T10:09:00Z;2022-11-08T11:49:00Z;2022-11-08T12:07:00Z;truck4;2022-11-08T14:16:00Z;2022-11-08T15:12:00Z;46.0
57;651;sh2;Sekatuote siipikarja luokka 3;14340kg;2022-11-08T06:16:00Z;;2022-11-08T08:39:00Z;2022-11-08T12:41:00Z;2022-11-08T13:32:00Z;truck1;2022-11-08T10:31:00Z;2022-11-08T14:10:00Z;47.0
58;633;sh2;Sekatuote siipikarja luokka 3;14640kg;2022-11-08T10:43:00Z;;2022-11-08T14:38:00Z;2022-11-08T19:05:00Z;2022-11-08T19:20:00Z;truck1;2022-11-08T15:54:00Z;2022-11-08T19:43:00Z;48.0
59;641;sh2;Sekatuote siipikarja luokka 3;14000kg;2022-11-08T06:57:00Z;;2022-11-08T10:42:00Z;2022-11-08T19:04:00Z;2022-11-08T19:20:00Z;truck1;2022-11-08T15:54:00Z;2022-11-08T19:09:00Z;49.0
60;661;sh2;Sekatuote siipikarja luokka 3;14760kg;2022-11-08T08:40:00Z;;2022-11-08T12:46:00Z;2022-11-08T19:04:00Z;2022-11-08T19:20:00Z;truck1;2022-11-08T15:54:00Z;2022-11-08T19:27:00Z;50.0
61;600;sh2;Sekatuote siipikarja luokka 3;15720kg;2022-11-08T12:47:00Z;;2022-11-08T16:33:00Z;2022-11-08T19:48:00Z;2022-11-08T19:50:00Z;truck5;2022-11-08T16:51:00Z;2022-11-08T20:37:00Z;51.0
62;626;sh2;Sekatuote siipikarja luokka 3;14880kg;2022-11-08T16:33:00Z;;2022-11-08T18:55:00Z;2022-11-08T19:48:00Z;2022-11-08T19:50:00Z;truck5;2022-11-08T16:51:00Z;2022-11-08T19:56:00Z;52.0
63;647;sh2;Varpaat, Siipikarja, Luokka 3;11880kg;2022-11-08T03:58:00Z;2022-11-08T04:00:00Z;2022-11-08T19:37:00Z;2022-11-08T19:48:00Z;2022-11-08T19:50:00Z;truck5;2022-11-08T16:51:00Z;2022-11-08T19:40:00Z;53.0
64;656;sh2;Sekatuote siipikarja luokka 3;14180kg;2022-11-08T14:40:00Z;;2022-11-08T21:30:00Z;2022-11-09T00:13:00Z;2022-11-09T00:29:00Z;truck1;2022-11-08T21:08:00Z;2022-11-09T00:31:00Z;54.0
65;602;sh1;Sekatuote siipikarja luokka 3;13980kg;2022-11-09T07:13:00Z;;2022-11-09T09:36:00Z;2022-11-09T11:43:00Z;2022-11-09T11:53:00Z;truck4;2022-11-09T13:35:00Z;2022-11-09T14:09:00Z;55.0
66;615;sh1;Sekatuote siipikarja luokka 3;13460kg;2022-11-09T09:42:00Z;;2022-11-09T11:35:00Z;2022-11-09T11:44:00Z;2022-11-09T11:53:00Z;truck4;2022-11-09T13:35:00Z;2022-11-09T14:30:00Z;55.0
67;628;sh2;Sekatuote siipikarja luokka 3;14460kg;2022-11-09T13:25:00Z;;2022-11-09T16:55:00Z;2022-11-09T17:52:00Z;2022-11-09T18:11:00Z;truck1;2022-11-09T14:32:00Z;2022-11-09T18:25:00Z;56.0
68;644;sh2;Sekatuote siipikarja luokka 3;14520kg;2022-11-09T11:31:00Z;;2022-11-09T15:13:00Z;2022-11-09T17:51:00Z;2022-11-09T18:11:00Z;truck1;2022-11-09T14:32:00Z;2022-11-09T18:08:00Z;57.0
69;627;sh1;Sekatuote siipikarja luokka 3;14940kg;2022-11-09T16:33:00Z;;2022-11-09T18:20:00Z;2022-11-09T22:01:00Z;2022-11-09T22:35:00Z;truck6;2022-11-09T18:41:00Z;2022-11-09T22:20:00Z;58.0
70;642;sh1;Sekatuote siipikarja luokka 3;14400kg;2022-11-09T18:21:00Z;;2022-11-09T20:43:00Z;2022-11-09T22:02:00Z;2022-11-09T22:35:00Z;truck6;2022-11-09T18:41:00Z;2022-11-09T22:53:00Z;59.0
71;620;sh1;Sekatuote siipikarja luokka 3;14520kg;2022-11-09T20:43:00Z;;2022-11-10T06:10:00Z;2022-11-10T06:56:00Z;2022-11-10T07:21:00Z;truck3;2022-11-10T09:05:00Z;2022-11-10T09:12:00Z;60.0
72;623;sh1;Sekatuote siipikarja luokka 3;14440kg;2022-11-10T06:18:00Z;;2022-11-10T08:12:00Z;2022-11-10T10:56:00Z;2022-11-10T11:14:00Z;truck4;2022-11-10T13:13:00Z;2022-11-10T13:44:00Z;61.0
73;645;sh1;Sekatuote siipikarja luokka 3;14320kg;2022-11-10T08:16:00Z;;2022-11-10T10:15:00Z;2022-11-10T10:56:00Z;2022-11-10T11:14:00Z;truck4;2022-11-10T13:13:00Z;2022-11-10T14:13:00Z;61.0
74;615;sh3;Sekatuote siipikarja luokka 3;12740kg;2022-11-10T10:26:00Z;;2022-11-10T12:27:00Z;2022-11-10T17:42:00Z;2022-11-10T18:33:00Z;truck4;2022-11-10T21:01:00Z;2022-11-10T21:51:00Z;62.0
75;629;sh2;Sekatuote siipikarja luokka 3;13700kg;2022-11-10T13:33:00Z;;2022-11-10T17:06:00Z;2022-11-10T18:56:00Z;2022-11-10T18:59:00Z;truck5;2022-11-10T14:56:00Z;2022-11-10T18:52:00Z;63.0
